query_id,air_relative_speed_m_s,air_relative_velocity_m_s,configuration_variant_id,drag_force_n,event_id,mass_kg,mass_property_profile_id,position_m,projected_area_m2,query_id,termination,time_s,velocity_m_s,wind_velocity_m_s
query-000000,138.87066417186614,"[99.44789782155023, 0.0, 96.92872116359388]",nominal,3230.496245398106,booster-release,1500.0,generic_slender_body_v1,"[3454.580460000464, 0.0, 4109.084147580231]",7.391596196356832,query-000000,,25.0,"[99.44789782155023, 0.0, 96.92872116359388]","[0.0, 0.0, 0.0]"
query-000000,130.20390728351373,"[97.9734712220269, 0.0, 85.7569612836212]",nominal,2809.5086591412964,booster-release,1500.0,generic_slender_body_v1,"[3553.2800679401053, 0.0, 4200.404524115882]",7.391596196356832,query-000000,,26.0,"[97.9734712220269, 0.0, 85.7569612836212]","[0.0, 0.0, 0.0]"
query-000000,122.21528231687788,"[96.6238533128654, 0.0, 74.83586174267008]",nominal,2452.0636522408604,booster-release,1500.0,generic_slender_body_v1,"[3650.5689834831405, 0.0, 4280.68154867878]",7.391596196356832,query-000000,,27.0,"[96.6238533128654, 0.0, 74.83586174267008]","[0.0, 0.0, 0.0]"
query-000000,114.93852149285767,"[95.38378031553404, 0.0, 64.13110146942782]",nominal,2151.110026713343,booster-release,1500.0,generic_slender_body_v1,"[3746.564273947494, 0.0, 4350.148295633937]",7.391596196356832,query-000000,,28.0,"[95.38378031553404, 0.0, 64.13110146942782]","[0.0, 0.0, 0.0]"
query-000000,108.42222109159076,"[94.23910103269534, 0.0, 53.613150093827045]",nominal,1900.9065591883452,booster-release,1500.0,generic_slender_body_v1,"[3841.368331637316, 0.0, 4409.00596286637]",7.391596196356832,query-000000,,29.0,"[94.23910103269534, 0.0, 53.613150093827045]","[0.0, 0.0, 0.0]"
query-000000,102.72777080049032,"[93.17642217811249, 0.0, 43.25678263260245]",nominal,1696.7811358536248,booster-release,1500.0,generic_slender_body_v1,"[3935.0698032660516, 0.0, 4457.428402716114]",7.391596196356832,query-000000,,30.0,"[93.17642217811249, 0.0, 43.25678263260245]","[0.0, 0.0, 0.0]"
query-000000,97.92531183020607,"[92.18282559755656, 0.0, 33.04078331234851]",nominal,1534.9400923130597,booster-release,1500.0,generic_slender_body_v1,"[4027.744200175351, 0.0, 4495.566264856014]",7.391596196356832,query-000000,,31.0,"[92.18282559755656, 0.0, 33.04078331234851]","[0.0, 0.0, 0.0]"
query-000000,94.08705328891556,"[91.24566761851008, 0.0, 22.94780463233069]",nominal,1412.314456048492,booster-release,1500.0,generic_slender_body_v1,"[4119.454265665791, 0.0, 4523.550923700463]",7.391596196356832,query-000000,,32.0,"[91.24566761851008, 0.0, 22.94780463233069]","[0.0, 0.0, 0.0]"
query-000000,91.27784010658678,"[90.35247651822283, 0.0, 12.964338839586592]",nominal,1326.4332047033574,booster-release,1500.0,generic_slender_body_v1,"[4210.250189359985, 0.0, 4541.498325220427]",7.391596196356832,query-000000,,33.0,"[90.35247651822283, 0.0, 12.964338839586592]","[0.0, 0.0, 0.0]"
query-000000,89.54397362748661,"[89.49096170313611, 0.0, 3.080744463249694]",nominal,1275.3163035633693,booster-release,1500.0,generic_slender_body_v1,"[4300.169774168378, 0.0, 4549.512838161849]",7.391596196356832,query-000000,,34.0,"[89.49096170313611, 0.0, 3.080744463249694]","[0.0, 0.0, 0.0]"
query-000000,88.90262217750502,"[88.64913430969504, 0.0, -6.708741773079067]",nominal,1257.3824798946678,booster-release,1500.0,generic_slender_body_v1,"[4389.238669060977, 0.0, 4547.691130514409]",7.391596196356832,query-000000,,35.0,"[88.64913430969504, 0.0, -6.708741773079067]","[0.0, 0.0, 0.0]"
query-000000,89.33489854801758,"[87.81551546503984, 0.0, -16.406076380230026]",nominal,1271.3685440970023,booster-release,1500.0,generic_slender_body_v1,"[4477.470769320275, 0.0, 4536.126021341083]",7.391596196356832,query-000000,,36.0,"[87.81551546503984, 0.0, -16.406076380230026]","[0.0, 0.0, 0.0]"
query-000000,90.78498376700576,"[86.97938505578912, 0.0, -26.009610779330515]",nominal,1316.2585202252976,booster-release,1500.0,generic_slender_body_v1,"[4564.868849922944, 0.0, 4514.910198501724]",7.391596196356832,query-000000,,37.0,"[86.97938505578912, 0.0, -26.009610779330515]","[0.0, 0.0, 0.0]"
query-000000,93.16558581313747,"[86.13101376329848, 0.0, -35.5144315456628]",nominal,1391.221774736007,booster-release,1500.0,generic_slender_body_v1,"[4651.425443949342, 0.0, 4484.139664344322]",7.391596196356832,query-000000,,38.0,"[86.13101376329848, 0.0, -35.5144315456628]","[0.0, 0.0, 0.0]"
query-000000,96.3677342164995,"[85.26183121878292, 0.0, -44.912808142462694]",nominal,1495.5596891098078,booster-release,1500.0,generic_slender_body_v1,"[4737.123924104773, 0.0, 4443.916783544223]",7.391596196356832,query-000000,,39.0,"[85.26183121878292, 0.0, -44.912808142462694]","[0.0, 0.0, 0.0]"
query-000000,100.27180579223098,"[84.36450787107144, 0.0, -54.19469391468884]",nominal,1628.6603379414767,booster-release,1500.0,generic_slender_body_v1,"[4821.93970995599, 0.0, 4394.352851736243]",7.391596196356832,query-000000,,40.0,"[84.36450787107144, 0.0, -54.19469391468884]","[0.0, 0.0, 0.0]"
query-000000,104.75712635792486,"[83.43295429498775, 0.0, -63.348225392513726]",nominal,1789.960357354965,booster-release,1500.0,generic_slender_body_v1,"[4905.841514573148, 0.0, 4335.570159912169]",7.391596196356832,query-000000,,41.0,"[83.43295429498775, 0.0, -63.348225392513726]","[0.0, 0.0, 0.0]"
query-000000,109.70879528929984,"[82.46225850919748, 0.0, -72.36018024709298]",nominal,1978.91295117329,booster-release,1500.0,generic_slender_body_v1,"[4988.792557413688, 0.0, 4267.703577724893]",7.391596196356832,query-000000,,42.0,"[82.46225850919748, 0.0, -72.36018024709298]","[0.0, 0.0, 0.0]"
query-000000,115.02161423812903,"[81.44858682067567, 0.0, -81.21637425334761]",nominal,2194.960903619393,booster-release,1500.0,generic_slender_body_v1,"[5070.751694223168, 0.0, 4190.901708464325]",7.391596196356832,query-000000,,43.0,"[81.44858682067567, 0.0, -81.21637425334761]","[0.0, 0.0, 0.0]"
query-000000,120.60170461159157,"[80.38907030650589, 0.0, -89.90199402948325]",nominal,2437.5135520035133,booster-release,1500.0,generic_slender_body_v1,"[5151.674439022209, 0.0, 4105.327679416916]",7.391596196356832,query-000000,,44.0,"[80.38907030650589, 0.0, -89.90199402948325]","[0.0, 0.0, 0.0]"
query-000000,126.36659046201329,"[79.28169227526459, 0.0, -98.4018722126995]",nominal,2705.926864482289,booster-release,1500.0,generic_slender_body_v1,"[5231.5138720799705, 0.0, 4011.159629061493]",7.391596196356832,query-000000,,45.0,"[79.28169227526459, 0.0, -98.4018722126995]","[0.0, 0.0, 0.0]"
query-000000,132.24442280783737,"[78.12518542056978, 0.0, -106.70071586816859]",nominal,2999.486001977135,booster-release,1500.0,generic_slender_body_v1,"[5310.2214397034, 0.0, 3908.5909434275186]",7.391596196356832,query-000000,,46.0,"[78.12518542056978, 0.0, -106.70071586816859]","[0.0, 0.0, 0.0]"
query-000000,138.17282478774732,"[76.9189423907458, 0.0, -114.78329935715668]",nominal,3317.3899730625876,booster-release,1500.0,generic_slender_body_v1,"[5387.747657733158, 0.0, 3797.8302827064217]",7.391596196356832,query-000000,,47.0,"[76.9189423907458, 0.0, -114.78329935715668]","[0.0, 0.0, 0.0]"
query-000000,144.0976522123967,"[75.66294032938461, 0.0, -122.6346314620663]",nominal,3658.73819113499,booster-release,1500.0,generic_slender_body_v1,"[5464.042732637128, 0.0, 3679.101428599716]",7.391596196356832,query-000000,,48.0,"[75.66294032938461, 0.0, -122.6346314620663]","[0.0, 0.0, 0.0]"
query-000000,149.97182777642016,"[74.35767820863613, 0.0, -130.24010449174688]",nominal,4022.5189052050373,booster-release,1500.0,generic_slender_body_v1,"[5539.057113681672, 0.0, 3552.642974106335]",7.391596196356832,query-000000,,49.0,"[74.35767820863613, 0.0, -130.24010449174688]","[0.0, 0.0, 0.0]"
query-000000,155.75431976704112,"[73.00412499847575, 0.0, -137.58563100593256]",nominal,4407.599598508108,booster-release,1500.0,generic_slender_body_v1,"[5612.741988031862, 0.0, 3418.707870784481]",7.391596196356832,query-000000,,50.0,"[73.00412499847575, 0.0, -137.58563100593256]","[0.0, 0.0, 0.0]"
query-000000,161.4092856034832,"[71.60367649894576, 0.0, -144.65777196839832]",nominal,4812.719535513293,booster-release,1500.0,generic_slender_body_v1,"[5685.049728532969, 0.0, 3277.562843825009]",7.391596196356832,query-000000,,51.0,"[71.60367649894576, 0.0, -144.65777196839832]","[0.0, 0.0, 0.0]"
query-000000,166.90537421936546,"[70.15811874323595, 0.0, -151.44385863321241]",nominal,5236.48469124359,booster-release,1500.0,generic_slender_body_v1,"[5755.934301776, 0.0, 3129.4876822433157]",7.391596196356832,query-000000,,52.0,"[70.15811874323595, 0.0, -151.44385863321241]","[0.0, 0.0, 0.0]"
query-000000,172.21516938622074,"[68.66959609754616, 0.0, -157.93210927016892]",nominal,5677.36532008348,booster-release,1500.0,generic_slender_body_v1,"[5825.351642060037, 0.0, 2974.774409815355]",7.391596196356832,query-000000,,53.0,"[68.66959609754616, 0.0, -157.93210927016892]","[0.0, 0.0, 0.0]"
query-000000,177.31475210192198,"[67.14058245107502, 0.0, -164.11174089959695]",nominal,6133.696416821842,booster-release,1500.0,generic_slender_body_v1,"[5893.2599951219145, 0.0, 2813.7263417651293]",7.391596196356832,query-000000,,54.0,"[67.14058245107502, 0.0, -164.11174089959695]","[0.0, 0.0, 0.0]"
query-000000,182.1833602185977,"[65.57385416237274, 0.0, -169.9730754879466]",nominal,6603.681292561116,booster-release,1500.0,generic_slender_body_v1,"[5959.620234034167, 0.0, 2646.6570324166323]",7.391596196356832,query-000000,,55.0,"[65.57385416237274, 0.0, -169.9730754879466]","[0.0, 0.0, 0.0]"
query-000000,186.8031253464506,"[63.97246368760582, 0.0, -175.50763951731471]",nominal,7085.398434332316,booster-release,1500.0,generic_slender_body_v1,"[6024.396148469569, 0.0, 2473.889119854751]",7.391596196356832,query-000000,,56.0,"[63.97246368760582, 0.0, -175.50763951731471]","[0.0, 0.0, 0.0]"
query-000000,191.15886956829388,"[62.339713055694595, 0.0, -180.70825545824312]",nominal,7576.811742203723,booster-release,1500.0,generic_slender_body_v1,"[6087.554707577582, 0.0, 2295.7530749304124]",7.391596196356832,query-000000,,57.0,"[62.339713055694595, 0.0, -180.70825545824312]","[0.0, 0.0, 0.0]"
query-000000,195.2379470588385,"[60.67912657430525, 0.0, -185.5691234282505]",nominal,8075.784144485392,booster-release,1500.0,generic_slender_body_v1,"[6149.0662959941355, 0.0, 2112.5858635502445]",7.391596196356832,query-000000,,58.0,"[60.67912657430525, 0.0, -185.5691234282505]","[0.0, 0.0, 0.0]"
query-000000,199.03011807450542,"[58.99442235084137, 0.0, -190.085891197222]",nominal,8580.094484350446,booster-release,1500.0,generic_slender_body_v1,"[6208.904921991731, 0.0, 1924.7295329792926]",7.391596196356832,query-000000,,59.0,"[58.99442235084137, 0.0, -190.085891197222]","[0.0, 0.0, 0.0]"
query-000000,202.5274448846075,"[57.28948239554035, 0.0, -194.25571069685134]",nominal,9087.4574548338,booster-release,1500.0,generic_slender_body_v1,"[6267.048396453863, 0.0, 1732.5297347356795]",7.391596196356832,query-000000,,60.0,"[57.28948239554035, 0.0, -194.25571069685134]","[0.0, 0.0, 0.0]"
query-000000,205.72420105431257,"[55.56832124046247, 0.0, -198.0772792976317]",nominal,9595.546239643252,booster-release,1500.0,generic_slender_body_v1,"[6323.478481209545, 0.0, 1536.3341984546018]",7.391596196356832,query-000000,,61.0,"[55.56832124046247, 0.0, -198.0772792976317]","[0.0, 0.0, 0.0]"
query-000000,208.61678709746087,"[53.83505315851418, 0.0, -201.55086432532923]",nominal,10102.017401116787,booster-release,1500.0,generic_slender_body_v1,"[6378.181005274074, 0.0, 1336.491172739464]",7.391596196356832,query-000000,,62.0,"[53.83505315851418, 0.0, -201.55086432532923]","[0.0, 0.0, 0.0]"
query-000000,211.20364693440268,"[52.09385819972177, 0.0, -204.67830958911867]",nominal,10604.53745089887,booster-release,1500.0,generic_slender_body_v1,"[6431.14594769435, 0.0, 1133.3478504030327]",7.391596196356832,query-000000,,63.0,"[52.09385819972177, 0.0, -204.67830958911867]","[0.0, 0.0, 0.0]"
query-000000,213.48518085378353,"[50.34894737616637, 0.0, -207.4630230722687]",nominal,11100.81045028154,booster-release,1500.0,generic_slender_body_v1,"[6482.367485973029, 0.0, 927.2487965458567]",7.391596196356832,query-000000,,64.0,"[50.34894737616637, 0.0, -207.4630230722687]","[0.0, 0.0, 0.0]"
query-000000,215.46365181593654,"[48.604527420388756, 0.0, -209.90994537682062]",nominal,11588.605921829674,booster-release,1500.0,generic_slender_body_v1,"[6531.844009425708, 0.0, 718.5343985524065]",7.391596196356832,query-000000,,65.0,"[48.604527420388756, 0.0, -209.90994537682062]","[0.0, 0.0, 0.0]"
query-000000,217.14308296752034,"[46.86476561279235, 0.0, -212.02549899645905]",nominal,12065.786316914006,booster-release,1500.0,generic_slender_body_v1,"[6579.578097287466, 0.0, 507.5393572552033]",7.391596196356832,query-000000,,66.0,"[46.86476561279235, 0.0, -212.02549899645905]","[0.0, 0.0, 0.0]"
query-000000,218.52914517137057,"[45.13375522011061, 0.0, -213.81751899472852]",nominal,12530.333278547101,booster-release,1500.0,generic_slender_body_v1,"[6625.57646190595, 0.0, 294.5912381922634]",7.391596196356832,query-000000,,67.0,"[45.13375522011061, 0.0, -213.81751899472852]","[0.0, 0.0, 0.0]"
query-000000,219.62903419397298,"[43.41548210852165, 0.0, -215.2951661655737]",nominal,12980.371966950204,booster-release,1500.0,generic_slender_body_v1,"[6669.849857913095, 0.0, 80.00910105488276]",7.391596196356832,query-000000,,68.0,"[43.41548210852165, 0.0, -215.2951661655737]","[0.0, 0.0, 0.0]"
